Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
159.375,0,5.77E-06,1.49E-05,-4.12374979,5.77
159.765625,0,4.17E-06,1.49E-05,-5.527147802,4.17
160.15625,0,5.67E-06,1.49E-05,-4.197463128,5.67
160.546875,0,6.70E-06,1.49E-05,-3.468738355,6.7
160.9375,0,6.38E-06,1.49E-05,-3.685639946,6.38
161.328125,0,5.36E-06,1.49E-05,-4.444045722,5.36
161.71875,0,4.76E-06,1.49E-05,-4.960055165,4.76
162.109375,0,6.14E-06,1.49E-05,-3.850236266,6.14
162.5,0,6.64E-06,1.49E-05,-3.51274001,6.64
162.890625,0,6.07E-06,1.49E-05,-3.898618726,6.07
163.28125,0,4.57E-06,1.49E-05,-5.128861203,4.57
163.671875,0,5.31E-06,1.49E-05,-4.477370139,5.31
164.0625,0,6.44E-06,1.49E-05,-3.640589762,6.44
164.453125,0,6.51E-06,1.49E-05,-3.598922358,6.51
164.84375,0,5.48E-06,1.49E-05,-4.345259501,5.48
165.234375,0,4.41E-06,1.49E-05,-5.284362016,4.41
165.625,0,5.92E-06,1.49E-05,-4.007413334,5.92
166.015625,0,6.62E-06,1.49E-05,-3.525926755,6.62
166.40625,0,6.33E-06,1.49E-05,-3.71553465,6.33
166.796875,0,5.14E-06,1.49E-05,-4.625801104,5.14
167.1875,0,5.19E-06,1.49E-05,-4.583909397,5.19
167.578125,0,6.62E-06,1.49E-05,-3.520068757,6.62
167.96875,0,7.29E-06,1.49E-05,-3.10692035,7.29
