Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
135.546875,0,8.45E-07,4.79E-06,-7.532955657,0.845
135.9375,0,9.04E-07,4.79E-06,-7.242462624,0.904
136.328125,0,7.19E-07,4.79E-06,-8.235384943,0.719
136.71875,0,5.59E-07,4.79E-06,-9.33194311,0.559
137.109375,0,8.69E-07,4.79E-06,-7.412295363,0.869
137.5,0,1.05E-06,4.79E-06,-6.594735061,1.05
137.890625,0,9.85E-07,4.79E-06,-6.867368827,0.985
138.28125,0,6.99E-07,4.79E-06,-8.361607094,0.699
138.671875,0,8.12E-07,4.79E-06,-7.708044087,0.812
139.0625,0,1.09E-06,4.79E-06,-6.448529426,1.09
139.453125,0,1.17E-06,4.79E-06,-6.109038643,1.17
139.84375,0,9.88E-07,4.79E-06,-6.857140652,0.988
140.234375,0,6.60E-07,4.79E-06,-8.608502774,0.66
140.625,0,1.06E-06,4.79E-06,-6.56350517,1.06
141.015625,0,1.25E-06,4.79E-06,-5.843600647,1.25
141.40625,0,1.22E-06,4.79E-06,-5.925303236,1.22
141.796875,0,9.19E-07,4.79E-06,-7.171364123,0.919
142.1875,0,8.83E-07,4.79E-06,-7.342204488,0.883
142.578125,0,1.27E-06,4.79E-06,-5.773306711,1.27
142.96875,0,1.37E-06,4.79E-06,-5.442510034,1.37
143.359375,0,1.15E-06,4.79E-06,-6.185596958,1.15
143.75,0,7.07E-07,4.79E-06,-8.310626296,0.707
144.140625,0,1.08E-06,4.79E-06,-6.451444025,1.08
144.53125,0,1.42E-06,4.79E-06,-5.274072093,1.42
144.921875,0,1.35E-06,4.79E-06,-5.493032537,1.35
145.3125,0,1.05E-06,4.79E-06,-6.583379384,1.05
145.703125,0,9.43E-07,4.79E-06,-7.060190438,0.943
146.09375,0,1.27E-06,4.79E-06,-5.768283766,1.27
146.484375,0,1.45E-06,4.79E-06,-5.180552535,1.45
146.875,0,1.27E-06,4.79E-06,-5.775595841,1.27
147.265625,0,8.77E-07,4.79E-06,-7.37252288,0.877
147.65625,0,1.08E-06,4.79E-06,-6.457050517,1.08
148.046875,0,1.37E-06,4.79E-06,-5.428114527,1.37
148.4375,0,1.39E-06,4.79E-06,-5.366507295,1.39
148.828125,0,1.11E-06,4.79E-06,-6.338025012,1.11
149.21875,0,7.81E-07,4.79E-06,-7.878972303,0.781
149.609375,0,1.22E-06,4.79E-06,-5.928252595,1.22
150,0,1.37E-06,4.79E-06,-5.435721529,1.37
150.390625,0,1.24E-06,4.79E-06,-5.880423575,1.24
150.78125,0,8.58E-07,4.79E-06,-7.46914944,0.858
151.171875,0,9.69E-07,4.79E-06,-6.940408248,0.969
151.5625,0,1.24E-06,4.79E-06,-5.87555587,1.24
151.953125,0,1.31E-06,4.79E-06,-5.629246692,1.31
152.34375,0,1.02E-06,4.79E-06,-6.711885601,1.02
152.734375,0,6.74E-07,4.79E-06,-8.51524671,0.674
153.125,0,1.03E-06,4.79E-06,-6.695900398,1.03
153.515625,0,1.17E-06,4.79E-06,-6.139738022,1.17
153.90625,0,1.06E-06,4.79E-06,-6.559048544,1.06
154.296875,0,7.49E-07,4.79E-06,-8.058683657,0.749
154.6875,0,7.08E-07,4.79E-06,-8.302951402,0.708
155.078125,0,9.98E-07,4.79E-06,-6.813838617,0.998
155.46875,0,1.03E-06,4.79E-06,-6.659893155,1.03
155.859375,0,8.56E-07,4.79E-06,-7.480670217,0.856
156.25,0,5.31E-07,4.79E-06,-9.551544692,0.531
156.640625,0,7.49E-07,4.79E-06,-8.059239191,0.749
